,Utterance,Emotion,Content
0,"I-I'm sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one.",anger,"I-I'm sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one."
1,"Ah! Ah!Get out of here!  Uh, meeting someone? Or-or are you just here to brush up on Marion's views on evolution?",anger,"Ah! Ah!Get out of here!  Uh, meeting someone? Or-or are you just here to brush up on Marion's views on evolution?"
2,You had no right to tell me you ever had feelings for me.,anger,You had no right to tell me you ever had feelings for me.
3,I was doing great with Julie before I found out about you.,anger,I was doing great with Julie before I found out about you.
4,"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",anger,"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?"
5,The point is I...,anger,The point is I...
6,"I don't need this right now, OK.",anger,"I don't need this right now, OK."
7,"It, it's too late, I'm with somebody else, I'm happy.",anger,"It, it's too late, I'm with somebody else, I'm happy."
8,This ship has sailed.,anger,This ship has sailed.
9,"Alright, fine, you go ahead and you do that, alright Ross.",anger,"Alright, fine, you go ahead and you do that, alright Ross."
10,Fine.,anger,Fine.
11,Cause I don't need your stupid ship.,anger,Cause I don't need your stupid ship.
12,Good.,anger,Good.
13,Good.,anger,Good.
14,"I mean she's a very nice woman, but there is no way we can take eight weeks of her.",anger,"I mean she's a very nice woman, but there is no way we can take eight weeks of her."
15,It's a witness not a perp. And no one talks like that!,anger,It's a witness not a perp. And no one talks like that!
16,"Yeah, no one talks like that!",anger,"Yeah, no one talks like that!"
17,Oh what? Like your Mr. Cop!,anger,Oh what? Like your Mr. Cop!
18,"Hey, I'm more cop than you two!",anger,"Hey, I'm more cop than you two!"
19,"Rachel Karen Green, where's the other earring?!",anger,"Rachel Karen Green, where's the other earring?!"
20,Tell her to wear her own earrings.,anger,Tell her to wear her own earrings.
21,Nooo! Nooooo! You lent me Monica's earrings?! I'm not allowed to borrow her stuff!,anger,Nooo! Nooooo! You lent me Monica's earrings?! I'm not allowed to borrow her stuff!
22,Because I lose her stuff!,anger,Because I lose her stuff!
23,I already had a baby. Leave me alone.,anger,I already had a baby. Leave me alone.
24,"I want to talk to that bastard, see what his problem is.",anger,"I want to talk to that bastard, see what his problem is."
25,Toby! I'm not gonna let you cover for him. Anything you say right now will just get me more upset with Chandler!,anger,Toby! I'm not gonna let you cover for him. Anything you say right now will just get me more upset with Chandler!
26,What about her whining and her constant need for attention?!,anger,What about her whining and her constant need for attention?!
27,"Oh right, because you're so capable of change.",anger,"Oh right, because you're so capable of change."
28,"Y'know, he hums when he pees!",anger,"Y'know, he hums when he pees!"
29,"That's all right, we-we don't need you. In fact, hey I'm over it already.",anger,"That's all right, we-we don't need you. In fact, hey I'm over it already."
30,"Yeah, and y'know what? I don't give a tiny rat's ass.",anger,"Yeah, and y'know what? I don't give a tiny rat's ass."
31,"Yeah, we're better off without them.",anger,"Yeah, we're better off without them."
32,"And y'know, even if they break up again, you'd better not let him in your sad men's club!",anger,"And y'know, even if they break up again, you'd better not let him in your sad men's club!"
33,Why isn't that valet back with my Porsche?,anger,Why isn't that valet back with my Porsche?
