Utterance,Emotion
"Sur-surprise him? We're not, we're not gonna make anybody mad are we?",fear
"Okay, okay, okay, look, just don't freak out, but I kinda lost it.",fear
"Well, what am I going to tell Monica? She wants to wear them tonight!",fear
It's moving.,fear
It's still--It's got a tail! Get it out of here! Get it out of here!!,fear
Ooh! Ah! Okay!,fear
The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard!,fear
I know!,fear
How bad is this?,fear
"Well for the regular guy, it's bad, but Chandler, Oh dear God!",fear
I know! I know! And he totally freaked out and I can't find him anywhere!,fear
"The reactor's gonna blow in three seconds, we're never gonna make it!",fear
You've got to get out of here! Save yourself!,fear
No! I won't leave you!,fear
"You know, I, you know, can't do this.",fear
Easy. Easy. You have to go to the hospital. Okay?,fear
"What?! I wh-, what's wrong?",fear
"Run! Run you crazy, rich freak!",fear
"Oh, I can't watch this.",fear
No-o-o!!,fear
"Uh-oh, Bruiser has Becker on the canvas and is going for his favourite area.",fear
"Good-good, don't tell him. Don't tell him. Just have him call me okay?",fear
"Oh, no-no-no-no-no-no!!",fear
My lighter's in there!,fear
"It'll kill him. I mean it'll, it'll just kill him.",fear
"Oh God, oh God, it's sowed on though.",fear
"Well, I, umm",fear
"Come on guys, I-I really want this guy to like me.",fear
Uh-oh.,fear
Really? You think so?,fear
Ben!,fear
Stop the bus! Wait! Wait! Wait!,fear
"I don't know, I just kinda ran into him last night.",fear
Noooooo!!,fear
I don't want a ghost.,fear
"Nothing! I said, I said ""You're so great"" and then I just, I just stopped talking!",fear
No I didn't!,fear
No I didn't!,fear
"Oh, okay, I'm having another one!",fear
"That was Alice's mom, she said she left five hours ago. She should be here by now!",fear
