Utterance,Emotion
You're a genius!,joy
Hey!,joy
Yeah! Yeah! Yeah! Like-like when I'm doing something exciting and I don't wanna get,joy
Yeah!,joy
Yeah!!,joy
"Oh, it's so romantic to send people off on their honeymoon.",joy
Wow! It looks like we got a lot of good stuff.,joy
"Oh we did, but my mom got us the greatest gift of all.",joy
Yes! She's gonna help us take care of the baby! Woo-hoo.,joy
Hi Ross!,joy
Hi roomie!,joy
"No! No you should! A lot of major actors do nude scenes! I mean, the chance to star in a movie? Come on!",joy
It's really sweet and-and tender.,joy
"""Wanted. Female roommate, non-smoker, non-ugly."" Nice!",joy
"Come on man!  Listen so uh, are you gonna squeeze the perps shoes a little bit before he lawyers up?",joy
"Okay, okay, come on, you can do it. You can do it!",joy
Yeah!!,joy
Little Leslie is here!,joy
"Come on little Chandler, it's time to be born. Come on little Chandler! Come on!",joy
"All right, he's coming. He's coming!",joy
"Okay, keep saying it!",joy
"No-no ah, everything's okay. Everybody's healthy there's 30 fingers and 30 toes.",joy
Yeah.,joy
"Oh, we have our babies.",joy
Hey Toby!,joy
Thank you.  Oh Joey and look at this crib! It's so cute!,joy
I know! I found it on the street.,joy
We're gonna give it another try.,joy
This is so great.,joy
And here's this little baby who has like three whole parents who care about it so much that they're fighting over who gets to love it the most.,joy
"It's just, it's just the luckiest baby in the whole world.",joy
"I'm doing just fine! God, Tiffany, you smell so great!",joy
"Okay, absolutely!",joy
"Man, it must be so cool remembering stuff like that! I don't have any past life memories.",joy
"Oh no, I know! I know! It's the one where Joey got Monica's turkey stuck on his head!",joy
Done.,joy
"Yeah, you're great! Okay, let's take it from",joy
"No, I mean I was really acting my ass off.",joy
"Yeah, I thought I was pretty good too.",joy
But you didn't!,joy
I'm still alive!!,joy
"Kori, I know this is a big surprise for you.",joy
It's a long story but the things    you just said really made my day!,joy
"I mean, the fact that you are here means more    to me than if this room were filled with people!",joy
Did you hear that? Kori Weston had a crush on me!!,joy
"Hello, baby. Hello, hello.",joy
"We could, or we can have sex in it.",joy
"Well let me think about that, while I remove my pants!",joy
"Okay, you go do it! I'll come back to that set! I'll meet more actors! I'll meet 'em all!",joy
Sure! That would be nice.,joy
Oh! My number is on there.  Give me a call.,joy
Okay!,joy
