Utterance,Emotion
"Or! Or, we could go to the bank, close our accounts and cut them off at the source.",neutral
"Now, there's two reasons.",neutral
Hey.,neutral
"Ohh, you guys, remember that cute client I told you about? I bit him.",neutral
On the touchy.,neutral
And,neutral
"Well, next time your massaging him, you should try and distract yourself.",neutral
"Thank you, Joey.",neutral
"No-no, thank you.",neutral
"Hey Estelle, listen",neutral
"Oh well, no harm, no foul.",neutral
"Okay, you guys free tonight?",neutral
Yes? Yes?! How can I help you?,neutral
"Yeah, we were!we were just looking around.",neutral
"What exactly were you looking for, hmm?",neutral
"Perhaps,  perhaps Dr. Chester Stock's musings on the Smiledon Californicus?",neutral
Uhh!.,neutral
"Uh, actually I find Marion's views far too progressionist.",neutral
I find Marion's views far too progressionist.,neutral
"I'm a professor here uh, Ross!Geller.",neutral
"Well I uh, I skipped forth grade.",neutral
"Y'know, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",neutral
All in good time my love.,neutral
All in good time.,neutral
Well you can let me in later.,neutral
"I don't have a key, they took mine to give to you.",neutral
A,neutral
No. She's going to live with us for eight weeks.,neutral
Hey! What did you decide to do about the movie?,neutral
I don't know!,neutral
It's not like it's porn!,neutral
"This is a serious, legitimate movie.",neutral
And the nudity is really important to the story.,neutral
That's what you say about porn.,neutral
You're right. Maybe I shouldn't even go on the call back.,neutral
Well that's true.,neutral
And I am only naked in one scene.,neutral
Plus it sounds really great.,neutral
My character's catholic and he falls in love with this Jewish girl.,neutral
Who run away together and they get caught in this big rainstorm.,neutral
So we go into this barn and undress each other and hold each other.,neutral
"Hey, what's up?",neutral
"But you're still moving in together, right? Because my ad came out today.",neutral
Yeah?,neutral
"I just figured y'know, after living with you it'd be an interesting change of pace to have a female roommate, y'know?",neutral
"Someone I can learn from, someone-someone who's different than me.",neutral
And what's more different than me. A guy who's,neutral
So where are we going next?,neutral
This witness won't return my calls so we're gonna see if we can surprise him coming home.,neutral
How do you figure that?,neutral
"Hello! I'm in the front seat, okay? I'm Gary's partner!",neutral
I guess so.,neutral
Here you go. Thank you!,neutral
"Wait, Rach! Where's the other one?",neutral
"I know it's in the apartment, but I",neutral
These,neutral
Why not?,neutral
"Uh Phoebe, can I see you for a second?",neutral
Yeah!,neutral
What's going on?,neutral
Okay. You ready to push again?,neutral
Am I too late?!,neutral
Hey Bobby.,neutral
"It's Bob actually. Hey, you work up here, can you tell me where this Chandler",neutral
"Uhh yeah. Yeah, it's  right, right down there.  Right there, yeah. Can I ask you why?",neutral
Yeah.,neutral
I don't know.,neutral
"Well, I went over to Kyle's last night to pick up a few things and we got to reminiscing",neutral
I'm gonna work on that.,neutral
I do know.,neutral
"Yeah, we're gonna go.",neutral
"Oh. Y'know, he hums while he does other stuff to.",neutral
Phoebe!,neutral
Yeah?,neutral
Have you seen Chandler?!,neutral
No! Why?,neutral
What are you gonna do?,neutral
"""Y'know, harm can it do if you go and put your name down?""",neutral
"Come on, come on.",neutral
And you know what the funny thing is?,neutral
You get to be the baby's father.,neutral
Everyone knows who you are.,neutral
Every day is Lesbian Lover Day.,neutral
You wanna explain that?,neutral
"Okay, it's a typical New York City apartment. Two girls are just hanging out.",neutral
"Hi, how are you doing Kelly?",neutral
It's my new perfume. Why don't you come closer where you can,neutral
"All right, I'll give you this, Mr. Peanut is a better dresser.",neutral
"I mean he's got the monocle, he's got the top hat...",neutral
You know he's gay?,neutral
I just wanna clarify this: are you outing Mr. Peanut?,neutral
"Danielle! Hi! Uh- everybody, this is Danielle, Danielle, everybody.",neutral
Hi. Hi.,neutral
"Well, what?",neutral
What?,neutral
What is it?,neutral
That she likes women?,neutral
That she left you for another woman that likes women?,neutral
Then what?,neutral
My first time with Carol was...,neutral
What?,neutral
It was my,neutral
Hi. Where is everybody?,neutral
"Aw! Hey, do you think that Susan person is her lover?",neutral
I'll do it.,neutral
No you won't.,neutral
"But,  you've got one more apology to make, all right, you've got to apologize to Mary-Angela.",neutral
All right.,neutral
You've got it.,neutral
Julie.,neutral
You were with Julie?,neutral
"Look, when it started I was just trying to be nice to her because she was my brother's girlfriend.",neutral
"And then, one thing led to another and, before I knew it, we were...shopping.",neutral
I can't say.,neutral
I can't say because he's famous.,neutral
"Okay, okay. It's James Brolin. James Brolin is the father of my baby.",neutral
In,neutral
Of course you don't sweetie. You're brand new.,neutral
I know Monica's worst Thanksgiving.,neutral
"Hey, it's not like it sounds.",neutral
It's,neutral
Who was that?,neutral
Ten dollars an hour.,neutral
No.,neutral
Twelve dollars an hour.,neutral
"Mon. I wish I could, but I've made plans to walk around.",neutral
What?,neutral
I am,neutral
"Oh yeah, you're solid. Yeah, you're just no me.",neutral
Y'know what? I think that's enough for now. Yeah. I don't want to be over rehearsed.,neutral
You'll,neutral
I'm sure that would mean a lot to him.,neutral
"And if heaven has a    door, I'm sure he's pressing his ear up against it and listening intently.",neutral
We'll do a quick check.,neutral
Okay.,neutral
Yeah.,neutral
You must be a little uncomfortable.,neutral
"Eh, just a tad.",neutral
"You're about 80 percent effaced, so you're on your way.",neutral
It still could last a little while longer.,neutral
If you're anxious there are a few ways to help things along.,neutral
"Actually, they're things you can do. Just some home remedies, but in my experience I've found that some of them are quite effective.",neutral
"Well, we are ready to try anything.",neutral
"Okay, there's an herbal tea you can drink.",neutral
Okay.,neutral
"Oh she misunderstood, she thought she was moving to Tulsa.",neutral
Anytime you're ready.,neutral
"Ok, ok, here we go.",neutral
"Ok, where am I talking to, here?",neutral
"I mean, uh, well, there is one way that seems to offer a certain acoustical advantage, but...",neutral
Just aim for the bump.,neutral
"Ok, ok, ok, ok, here goes.",neutral
"So don't do it, it's fine. You don't have to do it just because Susan does it.",neutral
"Oh, hi. It's Mark.",neutral
"Okay, I do.",neutral
Okay.,neutral
I really do.,neutral
"Okay, I'm gonna get your coat and then I'll-I'll put you in a cab.",neutral
Okay.,neutral
Okay?,neutral
"Pete Becker is circling the ring now. It looks like, he's just trying to feel him out. Oh, Bruiser is just...",neutral
"Of your last two boyfriends, Richard didn't want to have kids, and from the looks of it, now Pete can't.",neutral
Should we tell Rachel there's an empty private room right next door to hers?,neutral
"Hey, I'm with you. He even asked me if I thought you'd go out with him.",neutral
I said no.,neutral
I didn't tell him. I didn't know if you were telling people. This is back when I thought Kash was still people.,neutral
"Ohh, here you are. I was looking for you before. Joshua's gone so you and Emily are free to go.",neutral
That's okay.,neutral
"She's still in there enjoying her fake party and uh, it's too late to do any of the things I had planned, so",neutral
Okay. Wait! Wait!,neutral
Emily.,neutral
Hey. Call me when you get there. Okay?,neutral
Okay.,neutral
"No, I-I actually thought it was unfair the way everyone reacted. I mean you had just moved in.",neutral
Jen.,neutral
"Jen, I know this may sound a little! But uh, would you maybe wanna grab a cup of coffee sometime, or",neutral
Umm?,neutral
I will give you a call.,neutral
I'll see you later.,neutral
I forgot my paper.,neutral
"Here we go. Okay, brace yourselves.",neutral
What?,neutral
Okay.,neutral
Aren't you gonna go?,neutral
No. Thank you.,neutral
"No, Rachel never pees in public restrooms.",neutral
"Well, they never have any paper in there y'know. So my rule is 'no tissue, no tuschy.'  Well, if everybody's going.",neutral
"No, y'know what don't close it  'cause the... keys...are in there.",neutral
What's going on?,neutral
I promise.,neutral
"Although, don't feel like you can't visit.",neutral
"Hey, is, is, is Chandler here?",neutral
"No, no he's not.",neutral
"Well, I was thinking about that and I, I think the best way would be, to not.",neutral
"Joey, you can't keep this to yourself, if you know about this, you have to tell him.",neutral
"Well, you could wait 'til I go to the dentist, maybe",neutral
"Hey, what are you doing here?",neutral
"Well, oh just ah, I was just wondering, when you and I split up, did you get the tape that was half the last episode of",neutral
"Ah yeah, but now it's Susan and me in Mexico and the hostages coming home.",neutral
Where's Ben?,neutral
He's sleeping.,neutral
It's not that kind of anniversary.,neutral
Sooo!! Anyway...,neutral
Where are we gonna find a tiny little hat?,neutral
Give it. Give it.,neutral
Okay.,neutral
Come on.,neutral
"Yeah, Susan.",neutral
"Ok, who wants to hear something ironic?",neutral
"Okay, maybe ask this guy.",neutral
"Oh, did I not mention? Carl is a guy I hired to be my identical twin for a medical research project.",neutral
"Okay, I know it sounds crazy, but I think it might work. Y'know? The only problem is, Carl's acting is",neutral
The,neutral
"Yeah, he's the reason I didn't get that big",neutral
"Hey, uh can I get a little piece of that cake?",neutral
"Hey Monica, there's a customer who wants to complement the chef, should I let him in?",neutral
Come on in.,neutral
"In the moment, yeah.",neutral
"Sure, New Year's Eve is only two weeks away. Can you wait?",neutral
No.,neutral
Me neither.,neutral
"3, 2,",neutral
Alright. Phoebe?,neutral
"Okay, okay.",neutral
"Yeah, see.. you took mine. Chandler, what about you?",neutral
"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",neutral
"Hey Joey. Hi. Hey, buddy.",neutral
"Hey, Joey, what would you do if you were omnipotent?",neutral
You,neutral
Where are you Vic?,neutral
But I won't have aged at all.,neutral
"So you tell your great-great-granddaughter to look me up, because Adrienne, baby, I'm gonna want to meet her.",neutral
Nooo Way! The most romantic song ever is,neutral
"See, I-I think that one that Elton John wrote for, um, that guy on",neutral
"What song was that, Pheebs?",neutral
Nope.,neutral
"No, it's been three nights in a row.",neutral
"Yeah, she finally stopped crying yesterday, but then she found one of Richard's cigar butts out on the terrace, so.",neutral
"Oh, okay that explains it.",neutral
"I got a call at two in the morning, but all I could hear was, like, this high squeaky sound, so I thought okay its like a mouse or a opossum.",neutral
"So uh, man, are you gonna go to the play with me tonight?",neutral
"Yeah, I know but",neutral
"Oh no-no-no, I'm there.",neutral
"No-no, stay right there.  Gettin' closer.",neutral
"Okay, okay, but don't worry, because we also have cereals, muffins, waffles,",neutral
"Listen also we're uh, we're watching the game here Saturday night, if people want to come over.",neutral
"Yes, if the foxhole was lined with sandwiches.",neutral
"Yeah, hero sandwiches.",neutral
Well you all know that I'm a pacifist so I'm not interested in war in any way.,neutral
"When the revolution comes, I will have to destroy you all.",neutral
Not you Joey.,neutral
"Hey! Continuing the countdown of your favorite meals. Tonight, No. 3, macaroni and cheese with cut up hot dogs.",neutral
"Oh, the mixed tape.",neutral
"Hey, guess what I'm doing tonight.",neutral
What?,neutral
I'm checking out the restaurant with Pete.,neutral
"So honey this uh, this threesome thing umm, I mean how-how are you gonna start to find",neutral
"Yeah. Ooh, and I know Gail Rosten is in there twice, but she is so",neutral
"Oh, I know.  Y'know, just-just talking about it is getting me kinda",neutral
"Oh, me too.",neutral
"Ross, it just wouldn't have been feasible.",neutral
Yeah.,neutral
"That proposal, at the planetarium",neutral
"No, actually I thought about it when, when we were going out.",neutral
