WORD,MEANING,GradeoA,AoArating
mommy,,2,1.5980121212121212
no,not at all,2,1.8132043750000002
no,I won't,4,1.8132043750000002
no,not any,4,1.8132043750000002
no,a vote against,6,1.8132043750000002
no,a Japanese drama,14,1.8132043750000002
mama,mother,2,1.89
mamma,mother,4,1.89
hello,how are you?,2,1.9903757575757566
hello,a greeting,2,1.9903757575757566
a,"one, any",2,2.01871
A,musical note,8,2.01871
an,one,2,2.01871
an,"one, any",6,2.01871
daddy,father,2,2.0729454545454544
mom,a mother,2,2.22
dad,father,2,2.303866666666667
Christmas,Christ's birthday,4,2.3139636363636362
kitty,cats' pet name,2,2.3139636363636362
kitty,money bet in game,10,2.3139636363636362
kitty,pool of money,10,2.3139636363636362
me,I,2,2.472991935483871
me,myself,4,2.472991935483871
birthday,date when born,4,2.5010848484848487
yes,an answer that agrees,2,2.5186537096774195
yes,opposite of no,2,2.5186537096774195
bye,so long,2,2.5518906250000004
bye,no game,13,2.5518906250000004
grandma,parent's mother,2,2.58
mother,to treat as a parent would,2,2.6102909090909088
mother,has children,2,2.6102909090909088
mother,head of convent,6,2.6102909090909088
mother,substance in vinegar,13,2.6102909090909088
one,a single thing,2,2.6335550000000003
one,the first number,2,2.6335550000000003
one,a single person,2,2.6335550000000003
one,1,2,2.6335550000000003
one,a person,4,2.6335550000000003
one,either,8,2.6335550000000003
ones,7 in 1967,6,2.6335550000000003
ones,units,8,2.6335550000000003
bad,naughty,2,2.6420910416666668
bad,wicked,2,2.6420910416666668
bad,in poor condition,4,2.6420910416666668
bad,disagreeable,6,2.6420910416666668
bad,without worth,6,2.6420910416666668
bad,sick,12,2.6420910416666668
bad,serious,12,2.6420910416666668
worse,more bad,4,2.6420910416666668
worse,poorer,6,2.6420910416666668
worse,less well,6,2.6420910416666668
worst,most bad,2,2.6420910416666668
worst,get the better of,12,2.6420910416666668
potty,,2,2.6610181818181817
two,2,2,2.8108967741935484
big,large,2,2.839965625
bigger,larger,2,2.839965625
water,make wet,2,2.8429886363636365
water,a liquid to drink,2,2.8429886363636365
water,"lake, river, ocean",2,2.8429886363636365
water,give animals drink,4,2.8429886363636365
water,to form tears or saliva,6,2.8429886363636365
water,to dilute,8,2.8429886363636365
cried,bawled,2,2.857949784946236
cries,yells,2,2.857949784946236
cry,to shed tears,2,2.857949784946236
cry,yell,2,2.857949784946236
cry,to weep,4,2.857949784946236
cry,a slogan,12,2.857949784946236
cry,a bird's call,12,2.857949784946236
ate,had a meal,2,2.906082083333333
eat,"to bother, trouble",2,2.906082083333333
eat,to take food,2,2.906082083333333
eat,to worry oneself,12,2.906082083333333
eaten,swallowed for food,2,2.906082083333333
eating,troubling,2,2.906082083333333
eats,food,2,2.906082083333333
ma,mother,2,2.916612903225807
I,myself,2,2.92813
three,one added to two,2,2.937933225806452
three,3,2,2.937933225806452
hand,cards held by a player,2,2.9384112903225805
hand,from fingertips to wrist,2,2.9384112903225805
hand,on clock,2,2.9384112903225805
hand,member of ship's crew,4,2.9384112903225805
hand,applause,4,2.9384112903225805
hand,a promise of marriage,6,2.9384112903225805
hand,help lent,6,2.9384112903225805
hand,penmanship,8,2.9384112903225805
hand,worker,8,2.9384112903225805
hand,a part in doing something,12,2.9384112903225805
hand,a measure of horses,12,2.9384112903225805
leg,part of body,2,2.9463553763440857
leg,card game term,12,2.9463553763440857
leg,part of triangle,12,2.9463553763440857
leg,part of journey,12,2.9463553763440857
legs,sides of triangle,12,2.9463553763440857
nap,short sleep,2,2.9676015624999996
nap,fuzz on cloth or rug,10,2.9676015624999996
nap,surface of rug,12,2.9676015624999996
my,is mine,2,2.973265
boy,very young man,2,2.9959062499999995
boy,male servant,4,2.9959062499999995
snack,light meal,2,3.0049
snack,fasten with a latch,14,3.0049
wet,not dry,2,3.0087109375
wet,against prohibition,12,3.0087109375
wetter,more soaked with water,2,3.0087109375
wetting,soaking with water,4,3.0087109375
food,things to eat,2,3.0099032258064518
and,also,2,3.0105775
bed,sleeping place,2,3.0138989247311834
bed,where seeds are planted,4,3.0138989247311834
bed,part of a truck,8,3.0138989247311834
bed,earthwork for a railroad,12,3.0138989247311834
bed,bottom,13,3.0138989247311834
bathroom,where bathtub is,2,3.0210181818181816
feet,twelve inch lengths,2,3.0286127083333336
feet,what you walk on,2,3.0286127083333336
foot,the bottom end of a bed,2,3.0286127083333336
foot,twelve inches,2,3.0286127083333336
foot,the lowest part,2,3.0286127083333336
foot,part of leg,2,3.0286127083333336
foot,the bottom,6,3.0286127083333336
foot,to pay,10,3.0286127083333336
foot,the infantry,12,3.0286127083333336
foot,measure of poetry,14,3.0286127083333336
toy,a plaything,2,3.043533333333334
toy,thing of little value,6,3.043533333333334
toy,a miniature,8,3.043533333333334
toy,to fool with,10,3.043533333333334
ball,round toy,2,3.044338709677419
ball,round object,2,3.044338709677419
ball,kind of game,2,3.044338709677419
ball,big dance,4,3.044338709677419
ball,bad pitch,4,3.044338709677419
ball,cannon shot,4,3.044338709677419
ball,part of the foot,6,3.044338709677419
ball,kind of bullet,6,3.044338709677419
ball,make a wad of,6,3.044338709677419
ball,good time,8,3.044338709677419
ouch,cry when hurt,4,3.04965625
papa,father,2,3.05
carrot,"long, yellow vegetable",2,3.0528121212121215
carrots,,2,3.0528121212121215
grandpa,parent's father,2,3.06
cat,"lion, tiger, etc.",2,3.0730344827586213
cat,"small, furry animal",2,3.0730344827586213
cat,hep fellow,8,3.0730344827586213
cat,"a mean, spiteful woman",12,3.0730344827586213
up,has risen,2,3.0799290625
up,at a higher place,2,3.0799290625
up,out of bed,2,3.0799290625
up,to raise,2,3.0799290625
up,from low to higher,2,3.0799290625
up,from less to more,4,3.0799290625
up,at bat,4,3.0799290625
up,away from center of earth,8,3.0799290625
up,bringing into notice,8,3.0799290625
up,well-informed,10,3.0799290625
up,ahead,12,3.0799290625
up,on trial,12,3.0799290625
